event_id,semantic_type,domain,attempts,selected,abstains,oracle_accuracy,full_closure_accuracy,strict_event_success
EXT_E119,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,0,3,0.0,0.0,False
EXT_E120,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E121,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E122,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E123,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,0,3,0.0,0.0,False
EXT_E124,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E125,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E126,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,0,3,0.0,0.0,False
EXT_E127,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E128,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E129,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E130,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E131,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E132,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E133,GENERAL_RULE_EXCEPTION,cybersecurity_controls,3,0,3,0.0,0.0,False
EXT_E134,GENERAL_RULE_EXCEPTION,privacy_framework,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E136,GENERAL_RULE_EXCEPTION,privacy_framework,3,0,3,0.0,0.0,False
EXT_E137,GENERAL_RULE_EXCEPTION,privacy_framework,3,3,0,1.0,1.0,True
EXT_E139,GENERAL_RULE_EXCEPTION,privacy_framework,3,0,3,0.0,0.0,False
EXT_E140,GENERAL_RULE_EXCEPTION,privacy_framework,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E141,GENERAL_RULE_EXCEPTION,privacy_framework,3,0,3,0.0,0.0,False
EXT_E142,GENERAL_RULE_EXCEPTION,privacy_framework,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E144,GENERAL_RULE_EXCEPTION,privacy_framework,3,0,3,0.0,0.0,False
EXT_E145,GENERAL_RULE_EXCEPTION,privacy_framework,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E146,GENERAL_RULE_EXCEPTION,privacy_framework,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E147,GENERAL_RULE_EXCEPTION,privacy_framework,3,3,0,1.0,1.0,True
EXT_E148,GENERAL_RULE_EXCEPTION,privacy_framework,3,3,0,1.0,1.0,True
EXT_E149,GENERAL_RULE_EXCEPTION,privacy_framework,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E153,GENERAL_RULE_EXCEPTION,privacy_framework,3,0,3,0.0,0.0,False
EXT_E154,GENERAL_RULE_EXCEPTION,ai_regulation,3,3,0,1.0,1.0,True
EXT_E155,GENERAL_RULE_EXCEPTION,ai_regulation,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E156,GENERAL_RULE_EXCEPTION,ai_regulation,3,0,3,0.0,0.0,False
EXT_E157,GENERAL_RULE_EXCEPTION,ai_regulation,3,3,0,1.0,1.0,True
EXT_E160,GENERAL_RULE_EXCEPTION,ai_regulation,3,3,0,1.0,1.0,True
EXT_E161,GENERAL_RULE_EXCEPTION,ai_regulation,3,3,0,1.0,1.0,True
EXT_E162,GENERAL_RULE_EXCEPTION,ai_regulation,3,3,0,1.0,1.0,True
EXT_E163,GENERAL_RULE_EXCEPTION,ai_regulation,3,3,0,1.0,1.0,True
EXT_E164,GENERAL_RULE_EXCEPTION,ai_regulation,3,3,0,1.0,1.0,True
EXT_E165,CROSS_SENTENCE_SCOPE,ai_regulation,3,0,3,0.0,0.0,False
EXT_E166,CROSS_SENTENCE_SCOPE,ai_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E167,CROSS_SENTENCE_SCOPE,ai_regulation,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E168,CROSS_SENTENCE_SCOPE,ai_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E169,CROSS_SENTENCE_SCOPE,ai_regulation,3,0,3,0.0,0.0,False
EXT_E170,CROSS_SENTENCE_SCOPE,ai_regulation,3,0,3,0.0,0.0,False
EXT_E171,CROSS_SENTENCE_SCOPE,ai_regulation,3,0,3,0.0,0.0,False
EXT_E172,CROSS_SENTENCE_SCOPE,ai_regulation,3,0,3,0.0,0.0,False
EXT_E173,CROSS_SENTENCE_SCOPE,ai_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E174,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E175,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E176,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,3,0,1.0,1.0,True
EXT_E177,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E178,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E179,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,3,0,1.0,1.0,True
EXT_E180,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,3,0,1.0,1.0,True
EXT_E181,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E183,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,3,0,1.0,1.0,True
EXT_E184,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,3,0,1.0,1.0,True
EXT_E185,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E186,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E187,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,3,0,1.0,1.0,True
EXT_E188,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,3,0,1.0,1.0,True
EXT_E189,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E190,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E191,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E192,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E193,CROSS_SENTENCE_SCOPE,medical_device_cybersecurity,3,0,3,0.0,0.0,False
EXT_E195,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E196,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,3,0,1.0,1.0,True
EXT_E197,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E198,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E199,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E200,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E201,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E202,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E203,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E205,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E206,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,3,0,1.0,1.0,True
EXT_E207,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E208,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E209,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,3,0,1.0,1.0,True
EXT_E210,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E211,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,0,3,0.0,0.0,False
EXT_E212,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,3,0,1.0,1.0,True
EXT_E213,CROSS_SENTENCE_SCOPE,sustainability_reporting,3,1,2,0.3333333333333333,0.3333333333333333,False
