event_id,semantic_type,run,seed,status,runtime_ms,done_reason,prompt_eval_count,eval_count,json_valid,schema_valid,validation_reason,abstain,forbidden_markers,candidate_blind_input,output_file,error
EXT_E019,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,12933,stop,902,337,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E019-run4-seed20260823.json,
EXT_E019,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,10140,stop,902,334,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E019-run5-seed20260824.json,
EXT_E020,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,10210,stop,895,321,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E020-run1-seed20260820.json,
EXT_E020,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,10338,stop,895,295,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E020-run2-seed20260821.json,
EXT_E020,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,8178,stop,895,294,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E020-run3-seed20260822.json,
EXT_E020,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,11537,stop,895,285,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E020-run4-seed20260823.json,
EXT_E020,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,7832,stop,895,280,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E020-run5-seed20260824.json,
EXT_E021,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,8736,stop,891,293,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E021-run1-seed20260820.json,
EXT_E021,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,10792,stop,891,329,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E021-run2-seed20260821.json,
EXT_E021,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,11277,stop,891,302,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E021-run3-seed20260822.json,
EXT_E021,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,10317,stop,891,277,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E021-run4-seed20260823.json,
EXT_E021,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,8044,stop,891,277,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E021-run5-seed20260824.json,
